English,Translation,,Similar
the ability,la capacidad,,0
about,acerca de,,0
to accept,aceptar,,0
to achieve,para lograr,,0
the action,la acción,,0
actually,de hecho,,0
to add,agregar,,0
the adult,el adulto,,0
the advice,el consejo,,0
to agree,estar de acuerdo,,0
the air,el aire,,0
almost,casi,,0
alone,solo,,0
already,ya,,0
also,también,,0
always,siempre,,0
the amount,La cantidad,,0
angry,enojado,,0
the animal,el animal,,0
to answer,responder,,0
any,cualquier,,0
to appear,aparecer,,0
to apply,aplicar,,0
the area,el área,,0
argue,argumentar,,1
the arm,el brazo,,0
around,alrededor,,0
to arrive,llegar,,0
the art,el arte,,0
to ask,preguntar,,0
to avoid,evitar,,0
away,lejos,,0
baby,bebé,,0
the back,la espalda,,0
bad,malo,,0
the bag,la bolsa,,0
the ball,la pelota,,0
the bank,el banco,,0
the base,la base,,0
be,ser,,0
beautiful,hermoso,,0
because,porque,,0
to become,convertirse en,,0
the bed,la cama,,0
before,antes,,0
to begin,para empezar,,0
behind,detrás,,0
to believe,creer,,0
below,abajo,,0
best,mejor,,0
the better,cuanto mejor,,0
to between,entre,,0
big,grande,,0
the bird,el pájaro,,0
the bit,el poco,,0
black,negro,,0
the blood,la sangre,,0
blue,azul,,0
the board,el tablero,,0
the boat,el barco,,0
the body,el cuerpo,,0
the book,Biblia,,0
both,ambos,,0
the box,la caja,,0
the boy,el chico,,0
to break,romper,,0
to bring,traer,,0
the brother,el hermano,,0
brown,marrón,,0
to build,construir,,0
burn,quemar,,0
the bus,el autobús,,0
the business,el negocio,,0
busy,ocupado,,0
but,pero,,0
to buy,comprar,,0
to call,llamar,,0
the can,la lata,,0
the car,el auto,,0
the card,la tarjeta,,0
the care,el cuidado,,0
to carry,llevar,,0
the case,el caso,,0
to catch,atrapar,,0
the cause,causa,,1
the cent,el centavo,,0
the center,el centro,,0
certain,cierto,,0
the chair,la silla,,0
the chance,la oportunidad,,0
to change,cambiar,,0
the character,el personaje,,0
the charge,el cargo,,0
check,controlar,,0
the child,el niño,,0
to choose,elegir,,0
the city,la ciudad,,0
the class,la clase,,0
clean,limpio,,0
clear,claro,,0
close,cerca,,0
the clothes,la ropa,,0
the cloud,la nube,,0
coast,costa,,0
the cold,el frio,,0
