English,Translation,,Similar
the ability,khả năng,,0
about,Về,,0
to accept,chấp nhận,,0
to achieve,để đạt được,,0
the action,hành động,,0
actually,Thực ra,,0
to add,để thêm,,0
the adult,người lớn,,0
the advice,lời khuyên,,0
to agree,đồng ý,,0
the air,không khí,,0
almost,hầu hết,,0
alone,một mình,,0
already,đã,,0
also,Mà còn,,0
always,luôn luôn,,0
the amount,số tiền,,0
angry,tức giận,,0
the animal,con vật,,0
to answer,để trả lời,,0
any,bất kì,,0
to appear,xuất hiện,,0
to apply,áp dụng,,0
the area,khu vực,,0
argue,tranh cãi,,0
the arm,cánh tay,,0
around,xung quanh,,0
to arrive,đến,,0
the art,nghệ thuật,,0
to ask,hỏi,,0
to avoid,để tránh,,0
away,xa,,0
baby,Đứa bé,,0
the back,mặt sau,,0
bad,xấu,,0
the bag,cái túi,,0
the ball,quả bóng,,0
the bank,ngân hàng,,0
the base,căn cứ,,0
be,là,,0
beautiful,xinh đẹp,,0
because,bởi vì,,0
to become,trở thành,,0
the bed,cái giường,,0
before,trước,,0
to begin,bắt đầu,,0
behind,phía sau,,0
to believe,tin tưởng,,0
below,dưới,,0
best,tốt nhất,,0
the better,càng tốt,,0
to between,ở giữa,,0
big,to lớn,,0
the bird,con chim,,0
the bit,cái bit,,0
black,đen,,0
the blood,máu,,0
blue,màu xanh da trời,,0
the board,bảng,,0
the boat,chiếc thuyền,,0
the body,cơ thể,,0
the book,cuốn sách,,0
both,cả hai,,0
the box,cái hộp,,0
the boy,cậu bé,,0
to break,phá vỡ,,0
to bring,mang theo,,0
the brother,anh trai,,0
brown,màu nâu,,0
to build,xây dựng,,0
burn,đốt cháy,,0
the bus,xe buýt,,0
the business,việc kinh doanh,,0
busy,bận,,0
but,Nhưng,,0
to buy,mua,,0
to call,gọi,,0
the can,cái lon,,0
the car,chiếc xe,,0
the card,cái thẻ,,0
the care,sự chăm sóc,,0
to carry,mang theo,,0
the case,trường hợp,,0
to catch,để bắt,,0
the cause,nguyên nhân,,0
the cent,xu,,0
the center,trung tâm,,0
certain,chắc chắn,,0
the chair,cái ghế,,0
the chance,cơ hội,,0
to change,thay đổi,,0
the character,nhân vật,,0
the charge,phí,,0
check,kiểm tra,,0
the child,đứa trẻ,,0
to choose,để lựa chọn,,0
the city,thành phố,,0
the class,lớp học,,0
clean,lau dọn,,0
clear,thông thoáng,,0
close,đóng,,0
the clothes,quần áo,,0
the cloud,đám mây,,0
coast,bờ biển,,0
the cold,cái lạnh,,0
collect,sưu tầm,,0
the color,màu sắc,,0
to come,đến,,0
common,chung,,0
complete,hoàn thành,,0
the computer,máy tính,,0
the condition,điều kiện,,0
to consider,để xem xét,,0
contain,bao gồm,,0
to continue,tiếp tục,,0
the control,sự kiểm soát,,0
the cook,đầu bếp,,0
cool,mát mẻ,,0
the copy,bản sao,,0
the corner,góc,,0
correct,Chính xác,,0
the cost,chi phí,,0
could,có thể,,0
count,đếm,,0
the country,đất nước,,0
the course,khóa học,,0
the cover,bìa,,0
to create,để tạo ra,,0
the cross,cây thánh giá,,0
the cry,tiếng kêu,,0
the cup,cái cốc,,0
the current,hiện tại,,0
cut,cắt,,0
dad,bố,,0
the danger,sự nguy hiểm,,0
the dark,bóng tối,,0
to date,đến nay,,0
the daughter,con gái,,0
the day,ngày,,0
dead,chết,,0
deal,thỏa thuận,,0
dear,Thân mến,,0
to decide,quyết định,,0
deep,sâu,,0
the degree,mức độ,,0
depend,phụ thuộc,,0
to describe,để mô tả,,0
desert,sa mạc,,0
the design,thiết kế,,0
the desk,cái bàn,,0
to develop,để phát triển,,0
to die,chết,,0
difference,sự khác biệt,,0
different,khác biệt,,0
difficult,khó,,0
the dinner,bữa tối,,0
the direction,phương hướng,,0
to discover,khám phá,,0
to discuss,để thảo luận,,0
the disease,căn bệnh,,0
the distance,khoảng cách,,0
divide,chia,,0
to do,làm,,0
the doctor,bác sĩ,,0
the dog,con chó,,0
the door,cánh cửa,,0
double,gấp đôi,,0
down,xuống,,0
to draw,vẽ,,0
dream,mơ,,0
the dress,chiếc váy,,0
to drink,uống,,0
to drive,lái xe,,0
the drop,giọt nước,,0
dry,khô,,0
during,trong lúc,,0
each,mỗi,,0
the ear,cái tai,,0
early,sớm,,0
the earth,trái đất,,0
east,phía đông,,0
easy,dễ,,0
to eat,ăn,,0
the edge,rìa,,0
the effect,hiệu ứng,,0
the egg,quả trứng,,0
eight,tám,,0
the either,cái nào cũng được,,0
electric,điện,,0
else,khác,,0
to end,kết thúc,,0
enemy,kẻ thù,,0
the energy,năng lượng,,0
to enjoy,để tận hưởng,,0
enough,đủ,,0
to enter,để vào,,0
entire,toàn bộ,,0
equal,bình đẳng,,0
especially,đặc biệt,,0
to even,thậm chí,,0
evening,buổi tối,,0
the event,sự kiện,,0
the ever,bao giờ hết,,0
every,mọi,,0
everyone,mọi người,,0
everything,mọi thứ,,0
exact,chính xác,,0
the example,ví dụ,,0
except,ngoại trừ,,0
excite,kích động,,0
to exercise,tập thể dục,,0
expect,trông chờ,,0
expensive,đắt,,0
the experience,trải nghiệm,,0
to explain,để giải thích,,0
express,thể hiện,,0
the eye,con mắt,,0
the face,khuôn mặt,,0
the fact,sự thật,,0
fail,thất bại,,0
to fall,rơi,,0
false,SAI,,0
the family,gia đình,,0
famous,nổi tiếng,,0
far,xa,,0
the farm,trang trại,,0
fast,nhanh,,0
the father,người cha,,0
the fear,nỗi sợ hãi,,0
to feel,cảm nhận,,0
feet,bàn chân,,0
few,một vài,,0
the field,cánh đồng,,0
fight,trận đánh,,0
figure,nhân vật,,0
fill,đổ đầy,,0
film,phim ảnh,,0
final,cuối cùng,,0
to find,để tìm,,0
fine,khỏe,,0
the finger,ngón tay,,0
to finish,để kết thúc,,0
the fire,ngọn lửa,,0
first,Đầu tiên,,0
the fish,con cá,,0
fit,phù hợp,,0
five,năm,,0
fix,sửa chữa,,0
flat,phẳng,,0
the floor,sàn nhà,,0
flow,chảy,,0
the flower,bông hoa,,0
the fly,con ruồi,,0
to follow,đi theo,,0
the food,thức ăn,,0
the foot,bàn chân,,0
the for,cái cho,,0
the force,lực lượng,,0
foreign,nước ngoài,,0
forest,rừng,,0
to forget,quên,,0
the form,hình thức,,0
forward,phía trước,,0
four,bốn,,0
free,miễn phí,,0
fresh,tươi,,0
the friend,người bạn,,0
from,từ,,0
the front,phía trước,,0
full,đầy,,0
the fun,niềm vui,,0
game,trò chơi,,0
to garden,làm vườn,,0
gas,khí đốt,,0
general,tổng quan,,0
to get,để có được,,0
the girl,cô gái,,0
to give,để cho,,0
the glass,cái kính,,0
to go,đi,,0
god,chúa,,0
the gold,vàng,,0
good,Tốt,,0
the government,chính phủ,,0
the grass,cỏ,,0
great,Tuyệt,,0
to green,chuyển sang màu xanh lá cây,,0
ground,đất,,0
the group,nhóm,,0
to grow,phát triển,,0
guess,đoán,,0
the gun,khẩu súng,,0
the hair,mái tóc,,0
the half,một nửa,,0
the hand,bàn tay,,0
to happen,xảy ra,,0
happy,vui mừng,,0
hard,cứng,,0
to have,có,,0
he,Anh ta,,0
the head,cái đầu,,0
the health,sức khỏe,,0
to hear,nghe,,0
the heart,trái tim,,0
the heat,cái nóng,,0
heavy,nặng,,0
