English,Translation,Transcription,Similar
the ability,能力,nouryoku,0
about,について,nitsuite,0
to accept,受け入れる,ukeireru,0
to achieve,達成する,tasseisuru,0
the action,アクション,akushon,0
actually,実は,jitsuha,0
to add,追加する,tsuikasuru,0
the adult,大人,otona,0
the advice,アドバイス,adobaisu,0
to agree,同意する,douisuru,0
the air,空気,kuuki,0
almost,ほとんど,hotondo,0
alone,一人で,hitoride,0
already,すでに,sudeni,0
also,また,mata,0
always,いつも,itsumo,0
the amount,金額,kingaku,0
angry,怒り,ikari,0
the animal,動物,doubutsu,0
to answer,答える,kotaeru,0
any,どれでも,doredemo,0
to appear,現れる,arawareru,0
to apply,申請する,shinseisuru,0
the area,地域,chiiki,0
argue,主張する,shuchousuru,0
the arm,腕,ude,0
around,その周り,sonomawari,0
to arrive,到着する,touchakusuru,0
the art,芸術,geijutsu,0
to ask,尋ねる,tazuneru,0
to avoid,避けるために,sakerutameni,0
away,離れて,hanarete,0
baby,赤ちゃん,akachan,0
the back,背中,senaka,0
bad,悪い,warui,0
the bag,バッグ,baggu,0
the ball,ボール,booru,0
the bank,銀行,ginkou,0
the base,ベース,beesu,0
be,なれ,nare,0
beautiful,美しい,utsukushii,0
because,なぜなら,nazenara,0
to become,なる,naru,0
the bed,ベッド,beddo,0
before,前に,maeni,0
to begin,始める,hajimeru,0
behind,後ろに,ushironi,0
to believe,信じること,shinjirukoto,0
below,下に,shitani,0
best,最高,saikou,0
the better,より良い,yoriyoi,0
to between,間へ,kanhe,0
big,大きい,ookii,0
the bird,鳥,tori,0
the bit,ビット,bitto,0
black,黒,kuro,0
the blood,血,chi,0
blue,青,ao,0
the board,ボード,boodo,0
the boat,ボート,booto,0
the body,体,karada,0
the book,本,hon,0
both,両方,ryouhou,0
the box,箱,hako,0
the boy,少年,shounen,0
to break,壊す,kowasu,0
to bring,持ってくる,motsutekuru,0
the brother,兄弟,kyoudai,0
brown,茶色,chairo,0
to build,構築する,kouchikusuru,0
burn,やけど,yakedo,0
the bus,バス,basu,0
the business,ビジネス,bijinesu,0
busy,忙しい,isogashii,0
but,しかし,shikashi,0
to buy,買う,kau,0
to call,電話する,denwasuru,0
the can,缶,kan,0
the car,車,kuruma,0
the card,カード,kaado,0
the care,ケア,kea,0
to carry,運ぶ,hakobu,0
the case,ケース,keesu,0
to catch,捕まえる,tsukamaeru,0
the cause,原因,gen'in,0
the cent,セント,sento,0
the center,中心,chuushin,0
certain,ある,aru,0
the chair,椅子,isu,0
the chance,チャンス,chansu,0
to change,変える,kaeru,0
the character,キャラクター,kyarakutaa,0
the charge,料金,ryoukin,0
check,チェック,chekku,0
the child,子供,kodomo,0
to choose,選択する,sentakusuru,0
the city,街,machi,0
the class,クラス,kurasu,0
clean,クリーン,kuriin,0
clear,クリア,kuria,0
close,近い,chikai,0
the clothes,服,fuku,0
the cloud,雲,kumo,0
coast,海岸,kaigan,0
the cold,寒さ,samusa,0
collect,集める,atsumeru,0
the color,色,iro,0
to come,来る,kuru,0
common,一般,ippan,0
complete,完了,kanryou,0
the computer,コンピューター,konpyuutaa,0
the condition,状態,joutai,0
to consider,考慮する,kouryosuru,0
contain,含む,fukumu,0
to continue,続ける,tsuzukeru,0
the control,コントロール,kontorooru,0
the cook,料理人,ryourinin,0
cool,いいね,iine,0
the copy,コピー,kopii,0
the corner,角,kaku,0
correct,正しい,tadashii,0
the cost,費用,hiyou,0
could,できた,dekita,0
count,カウント,kaunto,0
the country,国,kuni,0
the course,コース,koosu,0
the cover,表紙,hyoushi,0
to create,作成する,sakuseisuru,0
the cross,十字架,juujika,0
the cry,叫び声,sakebikoe,0
the cup,カップ,kappu,0
the current,現在,genzai,0
cut,カット,katto,0
dad,お父さん,otousan,0
the danger,危険,kiken,0
the dark,暗闇,kurayami,0
to date,現在まで,genzaimade,0
the daughter,娘,musume,0
the day,その日,sononichi,0
dead,死んだ,shinda,0
deal,取引,torihiki,0
dear,親愛なる,shin'ainaru,0
to decide,決める,kimeru,0
deep,深い,fukai,0
the degree,学位,gakui,0
depend,依存する,izonsuru,0
to describe,説明する,setsumeisuru,0
desert,砂漠,sabaku,0
the design,デザイン,dezain,0
the desk,机,tsukue,0
to develop,開発する,kaihatsusuru,0
to die,死ぬ,shinu,0
difference,違い,chigai,0
different,違う,chigau,0
difficult,難しい,muzukashii,0
the dinner,夕食,yuushoku,0
the direction,方向,houkou,0
to discover,発見する,hakkensuru,0
to discuss,議論する,gironsuru,0
the disease,病気,byouki,0
the distance,距離,kyori,0
divide,分ける,wakeru,0
to do,すること,surukoto,0
the doctor,医者,isha,0
the dog,犬,inu,0
the door,ドア,doa,0
double,ダブル,daburu,0
down,下,shita,0
to draw,描く,egaku,0
dream,夢,yume,0
the dress,ドレス,doresu,0
to drink,飲む,nomu,0
to drive,運転する,untensuru,0
the drop,ドロップ,doroppu,0
dry,ドライ,dorai,0
during,その間,sonokan,0
each,それぞれ,sorezore,0
the ear,耳,mimi,0
early,早い,hayai,0
the earth,地球,chikyuu,0
east,東,higashi,0
easy,簡単,kantan,0
to eat,食べる,taberu,0
the edge,端,haji,0
the effect,効果,kouka,0
the egg,卵,tamago,0
eight,八,hachi,0
the either,どちらか,dochiraka,0
electric,電気,denki,0
else,それ以外,soreigai,0
to end,終わる,owaru,0
enemy,敵,teki,0
the energy,エネルギー,enerugii,0
to enjoy,楽しむ,tanoshimu,0
enough,十分,juubun,0
to enter,入る,iru,0
entire,全体,zentai,0
equal,等しい,hitoshii,0
especially,特に,tokuni,0
to even,均等にする,kintounisuru,0
evening,夕方,yuugata,0
the event,イベント,ibento,0
the ever,これまでの,koremadeno,0
every,毎,mai,0
everyone,みんな,minna,0
everything,すべて,subete,0
exact,ちょうど,choudo,0
the example,例,rei,0
except,を除外する,wojogaisuru,0
excite,エキサイト,ekisaito,0
to exercise,運動する,undousuru,0
expect,期待する,kitaisuru,0
expensive,高い,takai,0
the experience,経験,keiken,0
to explain,説明する,setsumeisuru,0
express,急行,kyuukou,0
the eye,目,me,0
the face,顔,kao,0
the fact,事実,jijitsu,0
fail,失敗,shippai,0
to fall,落ちる,ochiru,0
false,間違い,machigai,0
the family,家族,kazoku,0
famous,有名な,yuumeina,0
far,遠い,tooi,0
the farm,農場,noujou,0
fast,速い,hayai,0
the father,父親,chichioya,0
the fear,恐怖,kyoufu,0
to feel,感じる,kanjiru,0
feet,足,ashi,0
few,少し,sukoshi,0
the field,フィールド,fiirudo,0
fight,戦い,tatakai,0
figure,形,katachi,0
fill,埋める,umeru,0
film,膜,maku,0
final,ファイナル,fainaru,0
to find,見つける,mitsukeru,0
fine,大丈夫,daijoubu,0
the finger,指,yubi,0
to finish,終わらせる,owaraseru,0
the fire,火,hi,0
first,初め,hajime,0
the fish,魚,sakana,0
fit,フィット,fitto,0
five,五,go,0
fix,修理,shuuri,0
flat,フラット,furatto,0
the floor,床,toko,0
flow,流れ,nagare,0
the flower,花,hana,0
the fly,ハエ,hae,0
to follow,従う,shitagau,0
the food,食べ物,tabemono,0
the foot,足,ashi,0
the for,のための,notameno,0
the force,力,chikara,0
foreign,外国,gaikoku,0
forest,森,mori,0
to forget,忘れる,wasureru,0
the form,フォーム,foomu,0
forward,フォワード,fowaado,0
four,4,4,0
free,無料,muryou,0
fresh,新鮮な,shinsenna,0
the friend,友人,yuujin,0
from,から,kara,0
the front,正面,shoumen,0
full,満杯,manpai,0
the fun,楽しい,tanoshii,0
game,ゲーム,geemu,0
to garden,庭へ,niwahe,0
gas,ガス,gasu,0
general,一般的な,ippantekina,0
to get,取得するため,shutokusurutame,0
the girl,女の子,onnanoko,0
to give,与える,ataeru,0
the glass,ガラス,garasu,0
to go,持ち帰り,mochikaeri,0
god,神,kami,0
the gold,金,kin,0
good,良い,yoi,0
the government,政府,seifu,0
the grass,草,kusa,0
great,素晴らしい,subarashii,0
to green,緑へ,midorihe,0
ground,地面,jimen,0
the group,グループ,guruupu,0
to grow,成長する,seichousuru,0
guess,推測,suisoku,0
the gun,銃,juu,0
the hair,髪,kami,0
the half,半分,hanbun,0
the hand,手,te,0
