English,Translation,,Similar
the ability,a habilidade,,0
about,sobre,,0
to accept,aceitar,,0
to achieve,alcançar,,0
the action,a ação,,0
actually,na verdade,,0
to add,adicionar,,0
the adult,o adulto,,0
the advice,o conselho,,0
to agree,concordar,,0
the air,o ar,,0
almost,quase,,0
alone,sozinho,,0
already,já,,0
also,também,,0
always,sempre,,0
the amount,Quantidade,,0
angry,nervoso,,0
the animal,o animal,,0
to answer,responder,,0
any,qualquer,,0
to appear,aparecer,,0
to apply,aplicar,,0
the area,a área,,0
argue,discutir,,0
the arm,o braço,,0
around,em volta,,0
to arrive,chegar,,0
the art,a arte,,0
to ask,perguntar,,0
to avoid,evitar,,0
away,ausente,,0
baby,bebê,,0
the back,as costas,,0
bad,ruim,,0
the bag,a bolsa,,0
the ball,a bola,,0
the bank,o banco,,0
the base,a base,,0
be,ser,,0
beautiful,lindo,,0
because,porque,,0
to become,para se tornar,,0
the bed,a cama,,0
before,antes,,0
to begin,para começar,,0
behind,atrás,,0
to believe,acreditar,,0
below,abaixo,,0
best,melhor,,0
the better,melhor,,0
to between,entre,,0
big,grande,,0
the bird,o pássaro,,0
the bit,a parte,,0
black,preto,,0
the blood,o sangue,,0
blue,azul,,0
the board,o tabuleiro,,0
the boat,o barco,,0
the body,o corpo,,0
the book,o livro,,0
both,ambos,,0
the box,a caixa,,0
the boy,o menino,,0
to break,quebrar,,0
to bring,trazer,,0
the brother,o irmão,,0
brown,marrom,,0
to build,construir,,0
burn,queimar,,0
the bus,o ônibus,,0
the business,o negócio,,0
busy,ocupado,,0
but,mas,,0
to buy,comprar,,0
to call,ligar,,0
the can,a lata,,0
the car,o carro,,0
the card,o cartão,,0
the care,o cuidado,,0
to carry,carregar,,1
the case,o caso,,0
to catch,pegar,,0
the cause,a causa,,0
the cent,o centavo,,0
the center,o centro,,0
certain,certo,,1
the chair,a cadeira,,0
the chance,a chance,,0
to change,mudar,,0
the character,o personagem,,0
the charge,a cobrança,,0
check,verificar,,0
the child,a criança,,0
to choose,escolher,,0
the city,a cidade,,0
the class,a aula,,0
clean,limpar,,0
clear,claro,,0
close,fechar,,0
the clothes,as roupas,,0
the cloud,a nuvem,,0
coast,costa,,0
the cold,o frio,,0
collect,coletar,,0
the color,a cor,,0
to come,para vir,,0
common,comum,,1
complete,completo,,1
the computer,o computador,,0
the condition,a condição,,0
to consider,considerar,,1
contain,conter,,1
to continue,continuar,,1
the control,o controle,,0
the cook,o cozinheiro,,0
cool,legal,,0
the copy,a cópia,,0
the corner,a esquina,,0
correct,correto,,1
the cost,o custo,,0
could,poderia,,0
count,contar,,0
the country,o país,,0
the course,o curso,,0
the cover,a capa,,0
to create,para criar,,0
the cross,a cruz,,0
the cry,o choro,,0
the cup,a xícara,,0
the current,o actual,,0
cut,corte,,0
dad,pai,,0
the danger,o perigo,,0
the dark,o escuro,,0
to date,a data,,0
the daughter,a filha,,0
the day,o dia,,0
dead,morto,,0
deal,negócio,,0
dear,querido,,0
to decide,decidir,,1
deep,profundo,,0
the degree,o grau,,0
depend,depender,,1
to describe,descrever,,1
desert,deserto,,1
the design,o projeto,,0
the desk,a mesa,,0
to develop,desenvolver,,0
to die,morrer,,0
difference,diferença,,0
different,diferente,,0
difficult,difícil,,0
the dinner,o jantar,,0
the direction,a direção,,0
to discover,descobrir,,0
to discuss,discutir,,1
the disease,a doença,,0
the distance,a distância,,0
divide,dividir,,1
to do,pendência,,0
the doctor,o médico,,0
the dog,o cachorro,,0
the door,a porta,,0
double,dobro,,0
down,abaixo,,0
to draw,desenhar,,0
dream,sonhar,,0
the dress,o vestido,,0
to drink,beber,,0
to drive,dirigir,,0
the drop,a gota,,0
dry,seco,,0
during,durante,,1
each,cada,,0
the ear,a orelha,,0
early,cedo,,0
the earth,a terra,,0
east,leste,,0
easy,fácil,,0
to eat,comer,,0
the edge,a borda,,0
the effect,o efeito,,0
the egg,o ovo,,0
eight,oito,,0
the either,o quer,,0
electric,elétrico,,0
else,outro,,0
to end,terminar,,0
enemy,inimigo,,0
the energy,a energia,,0
to enjoy,aproveitar,,0
enough,suficiente,,0
to enter,para entrar,,0
entire,inteiro,,0
equal,igual,,0
especially,especialmente,,1
to even,para igualar,,0
evening,noite,,0
the event,o evento,,0
the ever,o sempre,,0
every,todo,,0
everyone,todos,,0
everything,tudo,,0
exact,exato,,1
the example,o exemplo,,0
except,exceto,,1
excite,excitar,,1
to exercise,exercitar,,1
expect,esperar,,0
expensive,caro,,0
the experience,a experiência,,0
to explain,explicar,,1
express,expressar,,1
the eye,o olho,,0
the face,o rosto,,0
the fact,o fato,,0
fail,falhar,,0
to fall,cair,,0
false,falso,,1
the family,a família,,0
famous,famoso,,1
far,distante,,0
the farm,a fazenda,,0
fast,rápido,,0
the father,o pai,,0
the fear,o medo,,0
to feel,sentir,,0
feet,pés,,0
few,alguns,,0
the field,o campo,,0
fight,lutar,,0
figure,figura,,1
fill,preencher,,0
film,filme,,1
final,final,,1
to find,encontrar,,0
fine,multar,,0
the finger,o dedo,,0
to finish,terminar,,0
the fire,o fogo,,0
first,primeiro,,0
the fish,o peixe,,0
fit,ajustar,,0
five,cinco,,0
fix,consertar,,0
flat,plano,,0
the floor,o chão,,0
flow,fluxo,,0
the flower,a flor,,0
the fly,a mosca,,0
to follow,seguir,,0
the food,a comida,,0
the foot,o pé,,0
the for,o para,,0
the force,a força,,0
foreign,estrangeiro,,0
forest,floresta,,0
to forget,esquecer,,0
the form,o formulário,,0
forward,avançar,,0
four,quatro,,0
free,livre,,0
fresh,fresco,,1
the friend,o amigo,,0
from,de,,0
the front,a frente,,0
full,completo,,0
the fun,a diversão,,0
game,jogo,,0
to garden,jardinar,,0
gas,gás,,0
general,em geral,,0
to get,obter,,0
the girl,a garota,,0
to give,para dar,,0
the glass,o vidro,,0
to go,ir,,0
god,Deus,,0
the gold,o ouro,,0
good,bom,,0
the government,o governo,,0
the grass,a grama,,0
great,ótimo,,0
to green,para verde,,0
ground,chão,,0
the group,o grupo,,0
to grow,crescer,,0
guess,adivinhar,,0
the gun,a arma,,0
the hair,o cabelo,,0
the half,a metade,,0
the hand,a mão,,0
to happen,acontecer,,0
happy,feliz,,0
hard,duro,,0
to have,ter,,0
he,ele,,0
the head,a cabeça,,0
the health,a saúde,,0
to hear,ouvir,,0
the heart,o coração,,0
the heat,o calor,,0
heavy,pesado,,0
to help,para ajudar,,0
the her,a ela,,0
here,aqui,,0
the high,o alto,,0
hill,colina,,0
him,ele,,0
his,dele,,0
the history,a história,,0
hit,bater,,0
to hold,segurar,,0
the hole,o buraco,,0
the home,a casa,,0
to hope,ter esperança,,0
the horse,o cavalo,,0
hot,quente,,0
the hour,a hora,,0
the house,a casa,,0
how,como,,0
the however,o porém,,0
human,humano,,1
hundred,centenas,,0
husband,marido,,0
the idea,a ideia,,0
to identify,identificar,,1
if,se,,0
image,imagem,,1
imagine,imaginar,,1
important,importante,,1
improve,melhorar,,0
in,em,,0
to include,incluir,,1
to increase,aumentar,,0
indeed,de fato,,0
to indicate,para indicar,,0
individual,individual,,1
the industry,a indústria,,0
the information,a informação,,0
inside,dentro,,0
instead,em vez de,,0
the interest,o interesse,,0
into,em,,0
to introduce,apresentar,,0
invest,investir,,1
involve,envolver,,0
the iron,o ferro,,0
the island,a ilha,,0
issue,emitir,,0
it,isto,,0
job,trabalho,,0
to join,juntar-se,,0
just,apenas,,0
to keep,manter,,0
the key,a chave,,0
kid,criança,,0
to kill,matar,,0
kind,tipo,,0
king,rei,,0
to kitchen,para a cozinha,,0
to know,saber,,0
the land,a terra,,0
the language,a língua,,0
large,grande,,0
last,durar,,0
to late,tarde demais,,0
to laugh,rir,,0
the law,a lei,,0
lay,deitar,,0
the lead,a liderança,,0
to learn,aprender,,0
least,ao menos,,0
to leave,sair,,0
left,esquerda,,0
the leg,a perna,,0
length,comprimento,,0
less,menos,,0
to let,deixar,,0
the letter,a carta,,0
the level,o nível,,0
to lie,mentir,,0
life,vida,,0
the light,a luz,,0
to like,gostar,,0
likely,provável,,0
the line,a linha,,0
the list,a lista,,0
to listen,ouvir,,0
little,pequeno,,0
to live,viver,,0
local,local,,1
long,longo,,1
to look,olhar,,0
to lose,perder,,0
the loss,a perda,,0
lot,muito,,0
to love,amar,,0
low,baixo,,0
the machine,a máquina,,0
main,principal,,0
to make,fazer,,0
the man,o homem,,0
many,muitos,,0
the map,o mapa,,0
the mark,a marca,,0
the market,o mercado,,0
marry,casar,,0
the matter,o assunto,,0
may,poderia,,0
maybe,talvez,,0
me,meu,,0
to mean,significar,,0
the measure,a medida,,0
the meat,a carne,,0
to meet,conhecer,,0
the member,o membro,,0
the memory,a memória,,0
the mention,a menção,,0
method,método,,0
the middle,o meio,,0
might,poder,,0
mile,milha,,1
the milk,o leite,,0
the mind,a mente,,0
the minute,o minuto,,0
miss,perder,,0
model,modelo,,1
the moment,o momento,,0
the money,o dinheiro,,0
the month,o mês,,0
more,mais,,0
the morning,pela manhã,,0
most,maioria,,0
the mother,a mãe,,0
the mouth,a boca,,0
to move,mover,,1
much,muito,,0
the music,a música,,0
must,deve,,0
the name,o nome,,0
the nation,a nação,,0
natural,natural,,1
nature,natureza,,1
near,aproximar,,0
nearly,aproximadamente,,0
necessary,necessário,,1
to need,precisar,,0
the never,o nunca,,0
new,novo,,0
the news,as notícias,,0
next,próximo,,0
nice,legal,,0
the night,a noite,,0
nine,nove,,0
no,não,,0
none,nenhum,,0
normal,normal,,1
north,norte,,1
the nose,o nariz,,0
not,não,,0
the note,a nota,,0
nothing,nada,,0
to notice,notar,,1
now,agora,,0
the number,o número,,0
occur,ocorrer,,0
ocean,oceano,,1
of,de,,0
off,desligado,,0
to offer,oferecer,,0
the office,o escritório,,0
to often,muitas vezes,,0
the oil,o óleo,,0
old,velho,,0
on,sobre,,0
once,uma vez,,0
one,um,,0
only,apenas,,0
to open,abrir,,0
to operate,operar,,1
the opportunity,a oportunidade,,0
the or,o ou,,0
to order,encomendar,,0
to organize,organizar,,1
the other,o outro,,0
our,nosso,,0
out,fora,,0
outside,fora,,0
the over,o fim,,0
to own,possuir,,0
the owner,o proprietário,,0
the page,a página,,0
the paint,a tinta,,0
pair,par,,0
