English,Translation,,Similar
the ability,la capacité,,0
about,à propos,,0
to accept,accepter,,1
to achieve,atteindre,,0
the action,l'action,,0
actually,en fait,,0
to add,ajouter,,0
the adult,l'adulte,,0
the advice,le conseil,,0
to agree,être d'accord,,0
the air,l'air,,0
almost,presque,,0
alone,seul,,0
already,déjà,,0
also,aussi,,0
always,toujours,,0
the amount,la quantité,,0
angry,en colère,,0
the animal,l'animal,,0
to answer,répondre,,0
any,n'importe lequel,,0
to appear,apparaître,,1
to apply,postuler,,0
the area,la zone,,0
argue,argumenter,,1
the arm,le bras,,0
around,autour,,0
to arrive,arriver,,1
the art,l'art,,0
to ask,demander,,0
to avoid,éviter,,0
away,loin,,0
baby,bébé,,0
the back,le dos,,0
bad,mauvais,,0
the bag,le sac,,0
the ball,le ballon,,0
the bank,la banque,,0
the base,la base,,0
be,être,,0
beautiful,beau,,1
because,parce que,,0
to become,devenir,,0
the bed,le lit,,0
before,avant,,0
to begin,pour commencer,,0
behind,derrière,,0
to believe,croire,,0
below,ci-dessous,,0
best,meilleur,,0
the better,mieux c'est,,0
to between,entre,,0
big,grand,,0
the bird,l'oiseau,,0
the bit,le peu,,0
black,noir,,0
the blood,le sang,,0
blue,bleu,,0
the board,le conseil,,0
the boat,le bateau,,0
the body,le corps,,0
the book,le livre,,0
both,les deux,,0
the box,la boîte,,0
the boy,le garçon,,0
to break,briser,,0
to bring,apporter,,0
the brother,le frère,,0
brown,brun,,0
to build,construire,,0
burn,brûler,,0
the bus,le bus,,0
the business,l'entreprise,,0
busy,occupé,,0
but,mais,,0
to buy,acheter,,0
to call,appeler,,0
the can,la canette,,0
the car,la voiture,,0
the card,la carte,,0
the care,les soins,,0
to carry,porter,,0
the case,le cas,,0
to catch,attraper,,0
the cause,la cause,,0
the cent,le centime,,0
the center,le centre,,0
certain,certain,,1
the chair,la chaise,,0
the chance,la chance,,0
to change,changer,,1
the character,le personnage,,0
the charge,l'accusation,,0
check,vérifier,,0
the child,l'enfant,,0
to choose,choisir,,1
the city,la ville,,0
the class,la classe,,0
clean,faire le ménage,,0
clear,clair,,0
close,fermer,,0
the clothes,les vêtements,,0
the cloud,le nuage,,0
coast,côte,,0
the cold,le froid,,0
collect,collecter,,1
the color,la couleur,,0
to come,venir,,0
common,commun,,1
complete,complet,,1
the computer,l'ordinateur,,0
the condition,l'état,,0
to consider,considérer,,1
contain,contenir,,1
to continue,continuer,,1
the control,le contrôle,,0
the cook,le cuisinier,,0
cool,cool,,1
the copy,la copie,,0
the corner,le coin,,0
correct,correct,,1
the cost,le coût,,0
could,pourrait,,0
count,compter,,0
the country,le pays,,0
the course,le cours,,0
the cover,la couverture,,0
to create,créer,,0
the cross,la croix,,0
the cry,le cri,,0
the cup,la tasse,,0
the current,le courant,,0
cut,couper,,0
dad,papa,,0
the danger,le péril,,0
the dark,l'obscurité,,0
to date,à ce jour,,0
the daughter,la fille,,0
the day,le jour,,0
dead,mort,,0
deal,accord,,0
dear,cher,,0
to decide,décider,,0
deep,profond,,0
the degree,le diplôme,,0
depend,dépendre,,0
to describe,décrire,,0
desert,désert,,0
the design,la conception,,0
the desk,le bureau,,0
to develop,développer,,0
to die,mourir,,0
difference,différence,,1
different,différent,,1
difficult,difficile,,1
the dinner,le dîner,,0
the direction,la direction,,0
to discover,à découvrir,,0
to discuss,discuter,,1
the disease,la maladie,,0
the distance,la distance,,0
divide,diviser,,1
to do,faire,,0
the doctor,le docteur,,0
the dog,le chien,,0
the door,la porte,,0
double,double,,1
down,vers le bas,,0
to draw,dessiner,,0
dream,rêve,,0
the dress,la robe,,0
to drink,boire,,0
to drive,conduire,,0
the drop,la goutte,,0
dry,sec,,0
during,pendant,,0
each,chaque,,0
the ear,l'oreille,,0
early,tôt,,0
the earth,la terre,,0
east,est,,0
easy,facile,,0
to eat,manger,,0
the edge,le bord,,0
the effect,l'effet,,0
the egg,l'oeuf,,0
eight,huit,,0
the either,le soit,,0
electric,électrique,,0
else,autre,,0
to end,terminer,,0
enemy,ennemi,,0
the energy,l'énergie,,0
to enjoy,profiter,,0
enough,assez,,0
to enter,entrer,,1
entire,entier,,1
equal,égal,,0
especially,en particulier,,0
to even,même pour,,0
evening,soirée,,0
the event,l'événement,,0
the ever,le jamais,,0
every,chaque,,0
everyone,tout le monde,,0
everything,tout,,0
exact,exact,,1
the example,l'exemple,,0
except,sauf,,0
excite,exciter,,1
to exercise,faire de l'exercice,,0
expect,attendre,,0
expensive,cher,,0
the experience,l'expérience,,0
to explain,expliquer,,1
express,exprimer,,1
the eye,l'oeil,,0
the face,le visage,,0
the fact,le fait,,0
fail,échouer,,0
to fall,tomber,,0
false,FAUX,,0
the family,la famille,,0
famous,célèbre,,0
far,loin,,0
the farm,la ferme,,0
fast,rapide,,0
the father,le père,,0
the fear,la peur,,0
to feel,ressentir,,0
feet,pieds,,0
few,peu,,0
the field,le terrain,,0
fight,lutte,,0
figure,chiffre,,0
fill,remplir,,0
film,film,,1
final,final,,1
to find,trouver,,0
fine,bien,,0
the finger,le doigt,,0
to finish,pour finir,,0
the fire,le feu,,0
first,d'abord,,0
the fish,le poisson,,0
fit,ajuster,,0
five,cinq,,0
fix,réparer,,0
flat,plat,,0
the floor,le sol,,0
flow,couler,,0
the flower,la fleur,,0
the fly,la mouche,,0
to follow,à suivre,,0
the food,la nourriture,,0
the foot,le pied,,0
the for,le pour,,0
the force,la force,,0
foreign,étranger,,0
forest,forêt,,1
to forget,oublier,,0
the form,le formulaire,,0
forward,avant,,0
four,quatre,,0
free,gratuit,,0
fresh,frais,,0
the friend,l'ami,,0
from,depuis,,0
the front,le devant,,0
full,complet,,0
the fun,le plaisir,,0
game,jeu,,0
to garden,jardiner,,0
gas,gaz,,0
general,général,,0
to get,obtenir,,0
the girl,la fille,,0
to give,donner,,0
the glass,le verre,,0
to go,aller,,0
god,Dieu,,0
the gold,l'or,,0
good,bien,,0
the government,le gouvernement,,0
the grass,l'herbe,,0
great,super,,0
to green,au vert,,0
ground,sol,,0
the group,le groupe,,0
to grow,grandir,,0
guess,deviner,,0
the gun,le pistolet,,0
the hair,les cheveux,,0
the half,la moitié,,0
the hand,la main,,0
to happen,arriver,,0
happy,heureux,,0
hard,dur,,0
to have,avoir,,0
he,il,,0
the head,la tête,,0
the health,la santé,,0
to hear,entendre,,0
the heart,le coeur,,0
the heat,la chaleur,,0
heavy,lourd,,0
to help,pour aider,,0
the her,la elle,,0
here,ici,,0
the high,le haut,,0
hill,colline,,0
him,lui,,0
his,son,,0
the history,l'histoire,,0
hit,frapper,,0
to hold,tenir,,0
the hole,le trou,,0
the home,la maison,,0
to hope,espérer,,0
the horse,le cheval,,0
hot,chaud,,0
the hour,l'heure,,0
the house,la maison,,0
how,comment,,0
the however,le cependant,,0
human,humain,,1
hundred,cent,,0
husband,mari,,0
the idea,l'idée,,0
to identify,identifier,,1
if,si,,0
image,image,,1
imagine,imaginer,,1
important,important,,1
