English,Translation,Transcription,Similar
the ability,القدرة,al-qadrah,0
about,عن,'n,0
to accept,لقبول,li-qabwl,0
to achieve,لتحقيق,li-tahqyq,0
the action,العمل,al-'ml,0
actually,في الحقيقة,fy al-haqyqah,0
to add,لإضافة,li-idafah,0
the adult,الكبار,al-kbar,0
the advice,النصيحة,al-nasyhah,0
to agree,للموافقة,li-lamwafqah,0
the air,الهواء,al-hwa',0
almost,بالكاد,balkad,0
alone,وحيد,wahyd,0
already,بالفعل,balf'l,0
also,أيضًا,aydana,0
always,دائماً,daymaan,0
the amount,المبلغ,al-mablgh,0
angry,غاضب,ghadb,0
the animal,الحيوان,al-haywan,0
to answer,للإجابة,li-lijabah,0
any,أي,ay,0
to appear,لتظهر,li-tazhr,0
to apply,لتطبيق,li-tatbyq,0
the area,المنطقة,al-mantqah,0
argue,يجادل,yjadl,0
the arm,الذراع,al-dahra',0
around,حول,hawl,0
to arrive,للوصول,li-lawswl,0
the art,الفن,al-fn,0
to ask,أن نسأل,an nsal,0
to avoid,لتجنب,li-tajnb,0
away,بعيد,b'yd,0
baby,طفل,tafl,0
the back,الظهر,al-zahr,0
bad,سيء,sy',0
the bag,الحقيبة,al-haqybah,0
the ball,الكرة,al-krah,0
the bank,البنك,al-bank,0
the base,القاعدة,al-qa'dah,0
be,يكون,yakwn,0
beautiful,جميل,jamyl,0
because,لأن,li-an,0
to become,لتصبح,li-tasbh,0
the bed,السرير,al-saryr,0
before,قبل,qabl,0
to begin,للبدء,li-labd',0
behind,خلف,kahlf,0
to believe,للاعتقاد,li-la'tqad,0
below,أقل,aql,0
best,أفضل,afadl,0
the better,كلما كان ذلك أفضل,kalma kan dahlk afadl,0
to between,إلى بين,ila bayn,0
big,كبير,kabyr,0
the bird,الطائر,al-tayr,0
the bit,قليلا,qalyla,0
black,أسود,asawd,0
the blood,الدم,al-dm,0
blue,أزرق,azarq,0
the board,المجلس,al-majls,0
the boat,القارب,al-qarb,0
the body,الجسم,al-jasm,0
the book,الكتاب,al-ktab,0
both,كلاهما,klahma,0
the box,الصندوق,al-sandwq,0
the boy,الصبي,al-saby,0
to break,لكسر,li-kasr,0
to bring,لجلب,li-jalb,0
the brother,الأخ,al-akh,0
brown,بني,bany,0
to build,لبناء,li-bna',0
burn,يحرق,yahrq,0
the bus,الحافلة,al-haflah,0
the business,العمل,al-'ml,0
busy,مشغول,mashgahwl,0
but,لكن,li-kn,0
to buy,للشراء,li-lashra',0
to call,للاتصال,li-latsal,0
the can,العلبة,al-'lbah,0
the car,السيارة,al-syarah,0
the card,البطاقة,al-btaqah,0
the care,الرعاية,al-r'ayah,0
to carry,للحمل,li-lahml,0
the case,القضية,al-qadyah,0
to catch,للقبض,li-laqbd,0
the cause,السبب,al-sabb,0
the cent,المائة,al-mayah,0
the center,المركز,al-markz,0
certain,تأكيد,takayd,0
the chair,الكرسي,al-karsy,0
the chance,الفرصة,al-farsah,0
to change,للتغيير,li-latghayyr,0
the character,الشخصية,al-sahkhasyah,0
the charge,التهمة,al-tahmah,0
check,يفحص,yafhs,0
the child,الطفل,al-tafl,0
to choose,للاختيار,li-lakahtyar,0
the city,المدينة,al-madynah,0
the class,الفصل,al-fasl,0
clean,ينظف,yanzf,0
clear,واضح,wadh,0
close,يغلق,yaghlq,0
the clothes,الملابس,al-mlabs,0
the cloud,السحابة,al-shabah,0
coast,ساحل,sahl,0
the cold,البرد,al-bard,0
collect,يجمع,yajm',0
the color,اللون,al-lawn,0
to come,ليأتي,li-yaty,0
common,شائع,shay',0
complete,مكتمل,maktml,0
the computer,الكمبيوتر,al-kambyawtr,0
the condition,الحالة,al-halah,0
to consider,للنظر فيها,li-lanzr fayha,0
contain,يحتوي,yahtwy,0
to continue,للمتابعة,li-lamtab'ah,0
the control,السيطرة,al-saytrah,0
the cook,الطباخ,al-tbakh,0
cool,رائع,ray',0
the copy,النسخة,al-naskhah,0
the corner,الزاوية,al-zawyah,0
correct,صحيح,sahyh,0
the cost,التكلفة,al-taklfah,0
could,استطاع,asatta',0
count,عدد,'dd,0
the country,البلاد,al-blad,0
the course,الدورة,al-dawrah,0
the cover,الغطاء,al-gahta',0
to create,لإنشاء,li-inasha',0
the cross,الصليب,al-salyb,0
the cry,البكاء,al-bka',0
the cup,الكأس,al-kas,0
the current,الحالي,al-haly,0
cut,يقطع,yaqt',0
dad,أب,ab,0
the danger,الخطر,al-kahtr,0
the dark,الظلام,al-zlam,0
to date,حتى الآن,hta al-aan,0
the daughter,الابنة,al-abnah,0
the day,اليوم,al-yawm,0
dead,ميت,mayt,0
deal,اتفاق,atfaq,0
dear,عزيزي,'zayzy,0
to decide,ليقرر,li-yaqrr,0
deep,عميق,'mayq,0
the degree,الدرجة,al-darjah,0
depend,تعتمد,t'tamd,0
to describe,لوصف,li-wasf,0
desert,صحراء,sahra',0
the design,التصميم,al-tasmym,0
the desk,المكتب,al-maktb,0
to develop,لتطوير,li-tatwyr,0
to die,للموت,li-lamwt,0
difference,اختلاف,akahtlaf,0
different,مختلف,makhtalf,0
difficult,صعب,s'b,0
the dinner,العشاء,al-'sha',0
the direction,الاتجاه,al-atjah,0
to discover,لاكتشاف,li-akatshaf,0
to discuss,للمناقشة,li-lamnaqashah,0
the disease,المرض,al-mard,0
the distance,المسافة,al-msafah,0
divide,تقسيم,taqsym,0
to do,للقيام به,li-laqyam bh,0
the doctor,الطبيب,al-tabyb,0
the dog,الكلب,al-kalb,0
the door,الباب,al-bab,0
double,مزدوج,mazdwj,0
down,تحت,taht,0
to draw,للرسم,li-larsm,0
dream,حلم,halm,0
the dress,الفستان,al-fastan,0
to drink,للشرب,li-lashrb,0
to drive,للقيادة,li-laqyadah,0
the drop,الانخفاض,al-anakhfad,0
dry,جاف,jaf,0
during,خلال,kahlal,0
each,كل,kl,0
the ear,الأذن,al-adahn,0
early,مبكر,mabkr,0
the earth,الأرض,al-ard,0
east,شرق,sahrq,0
easy,سهل,sahl,0
