English,Translation,Transcription,Similar
the ability,능력,neungryeok,0
about,~에 대한,~e daehan,0
to accept,받아들이다,badadeurida,0
to achieve,달성하다,dalseonghada,0
the action,행동,haengdong,0
actually,실제로,siljero,0
to add,추가하다,chugahada,0
the adult,성인,seongin,0
the advice,조언,joeon,0
to agree,동의하다,donguihada,0
the air,공기,gonggi,0
almost,거의,geoui,0
alone,홀로,holro,0
already,이미,imi,0
also,또한,ttohan,0
always,언제나,eonjena,0
the amount,금액,geumaek,0
angry,화난,hwanan,0
the animal,동물,dongmul,0
to answer,대답하다,daedaphada,0
any,어느,eoneu,0
to appear,나타나다,natanada,0
to apply,신청하다,sincheonghada,0
the area,지역,jiyeok,0
argue,다투다,datuda,0
the arm,팔,pal,0
around,약,yak,0
to arrive,도착하다,dochakhada,0
the art,예술,yesul,0
to ask,묻다,mutda,0
to avoid,피하기 위해,pihagi wihae,0
away,떨어져 있는,tteoreojyeo itneun,0
baby,아기,agi,0
the back,뒷면,dwitmyeon,0
bad,나쁜,nappeun,0
the bag,가방,gabang,0
the ball,공,gong,0
the bank,은행,eunhaeng,0
the base,베이스,beiseu,0
be,BE,BE,0
beautiful,아름다운,areumdaun,0
because,왜냐하면,waenyahamyeon,0
to become,되다,doeda,0
the bed,침대,chimdae,0
before,~ 전에,~ jeone,0
to begin,시작하다,sijakhada,0
behind,뒤에,dwie,0
to believe,믿다,mitda,0
below,아래에,araee,0
best,최상의,choesangui,0
the better,더 나은,deo naeun,0
to between,사이에,saie,0
big,큰,keun,0
the bird,새,sae,0
the bit,비트,biteu,0
black,검은색,geomeunsaek,0
the blood,피,pi,0
blue,파란색,paransaek,0
the board,보드,bodeu,0
the boat,보트,boteu,0
the body,몸,mom,0
the book,책,chaek,0
both,둘 다,dul da,0
the box,상자,sangja,0
the boy,그 소년,geu sonyeon,0
to break,깨다,kkaeda,0
to bring,가져오다,gajyeooda,0
the brother,형제,hyeongje,0
brown,갈색,galsaek,0
to build,구축하다,guchukhada,0
burn,불타다,bultada,0
the bus,버스,beoseu,0
the business,사업,saeop,0
busy,바쁘다,bappeuda,0
but,하지만,hajiman,0
to buy,구매,gumae,0
to call,전화하다,jeonhwahada,0
the can,캔,kaen,0
the car,차,cha,0
the card,카드,kadeu,0
the care,보살핌,bosalpim,0
to carry,운반하다,unbanhada,0
the case,사건,sageon,0
to catch,잡으려고,jabeuryeogo,0
the cause,원인,wonin,0
the cent,센트,senteu,0
the center,중심,jungsim,0
certain,확실한,hwaksilhan,0
the chair,의자,uija,0
the chance,기회,gihoe,0
to change,변화하다,byeonhwahada,0
the character,성격,seonggyeok,0
the charge,요금,yogeum,0
check,확인하다,hwaginhada,0
the child,아이,ai,0
to choose,선택하다,seontaekhada,0
the city,도시,dosi,0
the class,수업,sueop,0
clean,깨끗한,kkaekkeuthan,0
clear,분명한,bunmyeonghan,0
close,닫다,datda,0
the clothes,옷,ot,0
the cloud,구름,gureum,0
coast,해안,haean,0
the cold,추위,chuwi,0
collect,모으다,moeuda,0
the color,색깔,saekkkal,0
to come,올,ol,0
common,흔한,heunhan,0
complete,완벽한,wanbyeokhan,0
the computer,컴퓨터,keompyuteo,0
the condition,조건,jogeon,0
to consider,고려하다,goryeohada,0
contain,포함하다,pohamhada,0
to continue,계속하다,gyesokhada,0
the control,통제,tongje,0
the cook,요리사,yorisa,0
cool,시원한,siwonhan,0
the copy,사본,sabon,0
the corner,모퉁이,motungi,0
correct,옳은,oreun,0
the cost,비용,biyong,0
could,~할 수 있었다,~hal su isseotda,0
count,세다,seda,0
the country,국가,gukga,0
the course,코스,koseu,0
the cover,표지,pyoji,0
to create,창조하다,changjohada,0
the cross,십자가,sipjaga,0
the cry,외침,oechim,0
the cup,컵,keop,0
the current,현재,hyeonjae,0
cut,자르다,jareuda,0
dad,아빠,appa,0
the danger,위험,wiheom,0
the dark,어둠,eodum,0
to date,현재까지,hyeonjaekkaji,0
the daughter,딸,ttal,0
the day,그 날,geu nal,0
dead,죽은,jugeun,0
deal,거래,georae,0
dear,~에게,~ege,0
to decide,결정하다,gyeoljeonghada,0
deep,깊은,gipeun,0
the degree,정도,jeongdo,0
depend,의존하다,uijonhada,0
to describe,설명하다,seolmyeonghada,0
desert,사막,samak,0
the design,디자인,dijain,0
the desk,책상,chaeksang,0
to develop,개발하다,gaebalhada,0
to die,죽다,jukda,0
difference,차이점,chaijeom,0
different,다른,dareun,0
difficult,어려운,eoryeoun,0
the dinner,저녁 식사,jeonyeok siksa,0
the direction,방향,banghyang,0
to discover,발견하다,balgyeonhada,0
to discuss,토론하다,toronhada,0
the disease,질병,jilbyeong,0
the distance,거리,geori,0
divide,나누다,nanuda,0
to do,할 일,hal il,0
the doctor,의사,uisa,0
the dog,개,gae,0
the door,문,mun,0
double,더블,deobeul,0
down,아래에,araee,0
to draw,그리다,geurida,0
dream,꿈,kkum,0
the dress,드레스,deureseu,0
to drink,마시다,masida,0
to drive,운전하다,unjeonhada,0
the drop,드롭,deurop,0
dry,마른,mareun,0
during,~ 동안,~ dongan,0
each,각,gak,0
the ear,귀,gwi,0
early,일찍,iljjik,0
the earth,지구,jigu,0
east,동쪽,dongjjok,0
easy,쉬운,swiun,0
to eat,먹다,meokda,0
the edge,가장자리,gajangjari,0
the effect,효과,hyogwa,0
the egg,계란,gyeran,0
eight,여덟,yeodeol,0
the either,둘 중 하나,dul jung hana,0
electric,전기 같은,jeongi gateun,0
else,또 다른,tto dareun,0
to end,끝내다,kkeutnaeda,0
enemy,적,jeok,0
the energy,에너지,eneoji,0
to enjoy,즐기다,jeulgida,0
enough,충분한,chungbunhan,0
to enter,들어가다,deureogada,0
entire,전체,jeonche,0
equal,동일한,dongilhan,0
especially,특히,teukhi,0
to even,심지어,simjieo,0
evening,저녁,jeonyeok,0
the event,이벤트,ibenteu,0
the ever,이제까지,ijekkaji,0
every,모든,modeun,0
everyone,모든 사람,modeun saram,0
everything,모든 것,modeun geot,0
exact,정확한,jeonghwakhan,0
the example,예,ye,0
except,제외하고,jeoehago,0
excite,일으키다,ireukida,0
to exercise,운동하다,undonghada,0
expect,예상하다,yesanghada,0
expensive,값비싼,gapbissan,0
the experience,경험,gyeongheom,0
to explain,설명하다,seolmyeonghada,0
express,표현하다,pyohyeonhada,0
the eye,눈,nun,0
the face,얼굴,eolgul,0
the fact,사실,sasil,0
fail,실패하다,silpaehada,0
to fall,떨어지다,tteoreojida,0
false,거짓,geojit,0
the family,가족,gajok,0
famous,유명한,yumyeonghan,0
far,멀리,meolri,0
the farm,농장,nongjang,0
fast,빠른,ppareun,0
the father,아버지,abeoji,0
the fear,두려움,duryeoum,0
to feel,느끼다,neukkida,0
feet,피트,piteu,0
few,약간의,yakganui,0
the field,들판,deulpan,0
fight,싸움,ssaum,0
figure,수치,suchi,0
fill,채우다,chaeuda,0
film,영화,yeonghwa,0
final,결정적인,gyeoljeongjeogin,0
to find,찾기 위해,chatgi wihae,0
fine,괜찮은,gwaenchaneun,0
the finger,손가락,songarak,0
to finish,끝내다,kkeutnaeda,0
the fire,불,bul,0
first,첫 번째,cheot beonjjae,0
the fish,물고기,mulgogi,0
fit,맞다,matda,0
five,다섯,daseot,0
fix,고치다,gochida,0
flat,평평한,pyeongpyeonghan,0
the floor,바닥,badak,0
flow,흐름,heureum,0
the flower,꽃,kkot,0
the fly,파리,pari,0
to follow,따르다,ttareuda,0
the food,음식,eumsik,0
the foot,발,bal,0
the for,에 대한,e daehan,0
the force,힘,him,0
foreign,외국의,oegugui,0
forest,숲,sup,0
to forget,잊다,itda,0
the form,형태,hyeongtae,0
forward,앞으로,apeuro,0
four,네,ne,0
free,무료,muryo,0
fresh,신선한,sinseonhan,0
the friend,친구,chingu,0
from,~에서,~eseo,0
the front,정면,jeongmyeon,0
full,가득한,gadeukhan,0
the fun,재미,jaemi,0
game,게임,geim,0
to garden,정원으로,jeongwoneuro,0
gas,가스,gaseu,0
general,일반적인,ilbanjeogin,0
to get,얻기 위해,eotgi wihae,0
the girl,그 소녀,geu sonyeo,0
to give,주다,juda,0
the glass,유리,yuri,0
to go,가다,gada,0
god,하나님,hananim,0
the gold,금,geum,0
good,좋은,joeun,0
the government,정부,jeongbu,0
the grass,잔디,jandi,0
great,엄청난,eomcheongnan,0
to green,녹색으로,noksaegeuro,0
ground,지면,jimyeon,0
the group,그룹,geurup,0
to grow,성장하다,seongjanghada,0
guess,추측하다,chucheukhada,0
the gun,총,chong,0
the hair,머리카락,meorikarak,0
the half,절반,jeolban,0
the hand,손,son,0
to happen,일어나다,ireonada,0
happy,행복하다,haengbokhada,0
hard,딱딱한,ttakttakhan,0
to have,갖다,gatda,0
he,그,geu,0
the head,머리,meori,0
the health,건강,geongang,0
to hear,듣다,deutda,0
the heart,심장,simjang,0
the heat,더위,deowi,0
heavy,무거운,mugeoun,0
to help,돕기 위해,dopgi wihae,0
the her,그녀,geunyeo,0
here,여기,yeogi,0
the high,높은,nopeun,0
hill,언덕,eondeok,0
him,그를,geureul,0
his,그의,geuui,0
the history,역사,yeoksa,0
hit,때리다,ttaerida,0
to hold,보유하다,boyuhada,0
the hole,구멍,gumeong,0
the home,집,jip,0
to hope,희망하다,huimanghada,0
the horse,말,mal,0
hot,더운,deoun,0
the hour,시간,sigan,0
the house,집,jip,0
how,어떻게,eotteoke,0
the however,그러나,geureona,0
human,인간,ingan,0
hundred,백,baek,0
husband,남편,nampyeon,0
the idea,아이디어,aidieo,0
to identify,식별하다,sikbyeolhada,0
if,만약에,manyage,0
image,영상,yeongsang,0
imagine,상상하다,sangsanghada,0
important,중요한,jungyohan,0
improve,개선하다,gaeseonhada,0
in,~에,~e,0
to include,포함하다,pohamhada,0
to increase,증가하다,jeunggahada,0
indeed,물론,mulron,0
to indicate,나타내다,natanaeda,0
individual,개인,gaein,0
the industry,업계,eopgye,0
the information,정보,jeongbo,0
inside,내부에,naebue,0
instead,대신에,daesine,0
the interest,관심,gwansim,0
into,~ 안으로,~ aneuro,0
to introduce,소개하다,sogaehada,0
invest,투자하다,tujahada,0
involve,관련시키다,gwanryeonsikida,0
the iron,철,cheol,0
the island,섬,seom,0
issue,문제,munje,0
it,그것,geugeot,0
job,직업,jigeop,0
to join,가입하다,gaiphada,0
just,단지,danji,0
to keep,유지하다,yujihada,0
the key,열쇠,yeolsoe,0
kid,어린이,eorini,0
to kill,죽이다,jugida,0
kind,친절한,chinjeolhan,0
king,왕,wang,0
to kitchen,부엌으로,bueokeuro,0
to know,알고,algo,0
the land,땅,ttang,0
the language,언어,eoneo,0
large,크기가 큰,keugiga keun,0
last,마지막,majimak,0
to late,늦게까지,neutgekkaji,0
to laugh,웃다,utda,0
the law,법,beop,0
lay,놓다,nota,0
the lead,선두,seondu,0
to learn,배우다,baeuda,0
least,최소,choeso,0
to leave,떠나다,tteonada,0
left,왼쪽,oenjjok,0
the leg,다리,dari,0
length,길이,giri,0
less,더 적은,deo jeogeun,0
to let,허락하다,heorakhada,0
the letter,편지,pyeonji,0
the level,수준,sujun,0
to lie,거짓말하다,geojitmalhada,0
life,삶,sam,0
the light,빛,bit,0
to like,좋아하다,joahada,0
likely,~할 것 같은,~hal geot gateun,0
the line,라인,rain,0
the list,목록,mokrok,0
to listen,듣기,deutgi,0
little,작은,jageun,0
to live,살기 위해,salgi wihae,0
local,현지의,hyeonjiui,0
long,긴,gin,0
to look,보다,boda,0
to lose,잃다,ilta,0
the loss,손실,sonsil,0
lot,많은,maneun,0
to love,사랑하다,saranghada,0
low,낮은,najeun,0
the machine,기계,gigye,0
main,기본,gibon,0
to make,만들다,mandeulda,0
the man,그 남자,geu namja,0
many,많은,maneun,0
the map,지도,jido,0
the mark,마크,makeu,0
the market,시장,sijang,0
marry,결혼하다,gyeolhonhada,0
the matter,문제,munje,0
may,5월,5wol,0
maybe,아마도,amado,0
me,나,na,0
to mean,의미하다,uimihada,0
the measure,측정값,cheukjeonggap,0
the meat,고기,gogi,0
to meet,만나다,mannada,0
the member,회원,hoewon,0
the memory,기억,gieok,0
the mention,언급,eongeup,0
method,방법,bangbeop,0
the middle,중간,junggan,0
might,~할 것 같다,~hal geot gatda,0
mile,마일,mail,0
the milk,우유,uyu,0
the mind,마음,maeum,0
the minute,분,bun,0
miss,놓치다,nochida,0
model,모델,model,0
